mass,intensity,ionType,fixed or variable
147.113,0.030955203,[y1]1+,
192.124,0.004329307,[y3]2+,
246.181,0.013668011,[y2]1+,
249.637,0.001297446,[y4]2+,
255.686,2.89E-05,[b5]2+,
284.197,0.969705827,[b3]1+,fixed
314.159,0.055568093,[y5]2+,
364.739,0.000849835,[b7]2+,
383.24,0.341895578,[y3]1+,
387.693,0.109407484,[y6]2+,
397.281,4.714804681,[b4]1+,fixed
400.258,0.005774373,[b8]2+,
436.219,0.85629871,[y7]2+,
464.287,0.057494364,[b9]2+,
487.724,3.751982351,[y8]2+,
498.267,0.333484493,[y4]1+,
510.365,6.42343584,[b5]1+,fixed
545.819,0.172270255,[b10]2+,
551.753,2.027008295,[y9]2+,
581.402,8.960470942,[b6]1+,fixed
602.361,0.763136303,[b11]2+,
615.782,7.312814731,[y10]2+,
627.31,0.384334922,[y5]1+,
666.39,1.3436495,[b12]2+,
672.324,3.760537269,[y11]2+,
728.471,5.153074987,[b7]1+,fixed
730.419,3.00147818,[b13]2+,
753.856,5.17782537,[y12]2+,variable
774.378,2.322093042,[y6]1+,
781.924,1.319914265,[b14]2+,
799.508,5.711473212,[b8]1+,fixed
817.885,15.41577513,[y13]2+,variable
830.45,2.432049326,[b15]2+,
853.404,26.71907962,[y14]2+,variable
871.431,5.150570268,[y7]1+,
903.984,2.046168049,[b16]2+,
926.938,72.48966507,[y15]2+,variable
927.566,3.369790096,[b9]1+,fixed
962.457,100,[y16]2+,variable
968.506,0.846789585,[b17]2+,
974.44,6.257699179,[y8]1+,
1018.999,70.21858019,[y17]2+,variable
1026.019,4.009971524,[b18]2+,
1075.541,53.85436866,[y18]2+,variable
1090.63,6.883791636,[b10]1+,fixed
1094.549,2.219550505,[b19]2+,
1102.499,0.502118123,[y9]1+,
1125.075,29.4162631,[y19]2+,variable
1144.083,2.570595129,[b20]2+,
1181.617,0.081504283,[y20]2+,
1203.714,5.749733092,[b11]1+,fixed
1230.557,0.293584618,[y10]1+,
1331.772,0.650705545,[b12]1+,fixed
1343.641,0.008354162,[y11]1+,
1459.831,1.22087335,[b13]1+,fixed
1506.705,0.002164091,[y12]1+,
1562.84,0.098604135,[b14]1+,fixed
1634.763,0.000111109,[y13]1+,
1659.893,5.13E-05,[b15]1+,fixed
1705.8,0.000479888,[y14]1+,
1806.961,0.000528507,[b16]1+,fixed
1852.869,8.95E-05,[y15]1+,
1923.906,2.55E-05,[y16]1+,
1936.004,2.72E-05,[b17]1+,fixed
